"Negative","Positive","Pleasure","Pain"
"abandon","abide","admiration","ache"
"abandonment","ability","admire","afraid"
"abate","able","adore","agonize"
"abdicate","abound","adulation","agony"
"abhor","absolve","amour","ail"
"abject","absorbent","amuse","ailment"
"abnormal","absorption","amusement","ambivalent"
"abolish","abundance","apocalypse","anguish"
"abominable","abundant","appeal","anxiety"
"abrasive","accede","appreciation","anxious"
"abrupt","accentuate","appreciative","anxious"
"abscond","accept","assure","anxiousness"
"absence","acceptable","attachment","apologetic"
"absent","acceptance","attraction","apprehension"
"absent-minded","accessible","balmy","apprehensive"
"absentee","accession","bliss","ashamed"
"absurd","acclaim","blissful","beset"
"absurdity","acclamation","blithe","bitter"
"abuse","accolade","calm","bitterness"
"abuse","accommodate","calm","bloodshed"
"abyss","accommodation","calm","blue"
"accident","accompaniment","calmness","broken-hearted"
"accost","accomplish","carefree","brood"
"accursed","accomplishment","celebrate","bruise"
"accusation","accord","cheerful","burdensome"
"accuse","accord","cheery","chafe"
"accuse","accord","comestible","clamor"
"ache","accordance","comfort","clamorous"
"acrimonious","accountable","comfortable","clatter"
"acrimony","accrue","comic","commiseration"
"addict","accuracy","comical","commit"
"addiction","accurate","confidence","concern"
"admonish","accurateness","confident","conflict"
"admonition","achieve","content","conflict"
"adulterate","achievement","content","cramp"
"adulteration","acknowledgement","content","cringe"
"adultery","acquaint","contentment","cripple"
"adversary","acquaintance","cozy","dejected"
"adverse","acquit","cuddle","depress"
"adversity","acquittal","cupid","depress"
"affectation","actual","decorate","depression"
"afflict","actual","decoration","despair"
"affliction","actuality","decorative","despair"
"afraid","adamant","delight","desperate"
"against","adaptability","delight","desperation"
"aggravate","adaptable","delightful","despise"
"aggravation","adaptation","determine","destitute"
"aggression","adaptive","determine","disagreeable"
"aggressive","adept","devote","disappoint"
"aggressiveness","adeptness","dote","disappointment"
"aggressor","adequate","dreamland","discomfort"
"aggrieve","adherence","eager","disconcerted"
"aghast","adherent","earnest","discontent"
"agitate","adhesion","ease","discourage"
"agitation","adhesive","ecstasy","discourage"
"agitator","adjunct","ecstatic","disgust"
"agonize","adjust","elate","disgust"
"agony","adjustable","enchantment","disgust"
"ail","adjustment","endear","disgust"
"ailment","admirable","enjoy","disgust"
"aimless","admiration","enthusiasm","dishearten"
"alarm","admire","enthusiastic","dishonor"
"alarming","admirer","excite","disillusion"
"alas","admit","excite","dismay"
"alibi","admit","excited","displeasure"
"alien","admit","excited","dissatisfaction"
"alienate","admittance","excitedness","dissatisfied"
"alienation","adorable","excitement","dissolution"
"allegation","adore","exhilaration","distress"
"allege","adorn","fantasy","distress"
"aloof","adornment","fascinate","distrustful"
"altercation","adroit","flirt","disturb"
"ambiguity","adroitly","fondness","dizzy"
"ambiguous","adulation","fun","doldrums"
"ambivalent","adult","gaiety","downcast"
"ambush","advance","gaily","downfall"
"ambush","advance","game","downhearted"
"amiss","advance","gay","dread"
"amputate","advancement","glad","edge"
"anarchist","advantage","glad","estranged"
"anarchy","advantageous","gladden","exasperation"
"anger","advent","gladness","exhaustion"
"anger","adventuresome","glee","famine"
"angry","adventurous","grateful","fatigue"
"anguish","advisable","gratification","fear"
"animosity","advocacy","gratify","fear"
"annihilate","affability","happiness","fear"
"annihilation","affable","happy","fearful"
"annoy","affection","happy","fearsome"
"annoyance","affectionate","happy","fed"
"anomalous","affiliate","happy","forlorn"
"anomaly","affiliation","harmonious","frantic"
"antagonism","affinity","hilarious","frighten"
"antagonist","affirm","hot","frighten"
"antagonistic","affirmation","hot","frighten"
"antagonize","affirmative","humor","frightful"
"anti-social","affix","humorous","frustrate"
"antipathy","affluence","indulgence","frustrate"
"antiquated","affluent","intimacy","frustration"
"antitrust","afloat","jest","fury"
"anxiety","aggregate","jolly","gash"
"anxious","aggregation","joy","gloom"
"anxious","agile","joyful","gloomy"
"anxiousness","agility","jubilant","glum"
"apathetic","agreeable","jubilee","grief"
"apathy","agreement","love","grievance"
"appall","aid","love","grieve"
"appall","aid","love","grizzly"
"apprehension","alertness","lust","grudge"
"apprehensive","alight","merrily","guilt"
"arbitrary","alive","merriment","hard"
"arduous","allegiance","merry","hopeless"
"argue","alleviate","mirth","horror"
"argument","alliance","optimistic","hostile"
"arrest","allied","overjoyed","hostility"
"arrest","allies","pleasant","humiliation"
"arrogance","allow","please","hung"
"arrogant","allowable","pleased","hurt"
"artificial","allowance","pleased","hurtful"
"ashamed","allure","pleasurable","hysteria"
"assail","ally","pleasure","hysterical"
"assailant","almighty","poetic","ill"
"assassin","altruistic","pride","indignation"
"assassinate","amazement","proud","injure"
"assault","amazing","purr","intolerable"
"assault","ameliorate","recline","irk"
"astray","amenable","recreation","irritable"
"asunder","amenity","refuge","irritation"
"atrocious","amiability","rejoice","jittery"
"atrophy","amiable","relaxation","lament"
"attack","amicable","relief","lamentable"
"attack","amnesty","relieve","lone"
"attack","amour","relish","loneliness"
"audacious","ample","repose","lonely"
"audacity","amplify","resolve","lonesome"
"austere","amply","respite","malice"
"autocrat","amuse","rest","malicious"
"autocratic","amusement","restful","melancholy"
"avarice","angel","revel","miserable"
"avaricious","angelic","romance","misery"
"avenge","anoint","romantic","moan"
"aversion","apocalypse","romanticize","mortify"
"avert","appeal","rosy","mourn"
"avoid","appease","sanguine","mourn"
"avoidance","append","satisfaction","mourner"
"awful","applaud","satisfy","myself>"
"awkward","applause","savor","nervous"
"awkwardness","appoint","secure","nervousness"
"ax","appoint","smitten","neurotic"
"babble","appreciable","spirit","numb"
"backward","appreciate","sublime","oppressive"
"backwardness","appreciation","sweetness","outrage"
"bad","appreciative","tenderness","pain"
"badly","apprehend","therapeutic","panic"
"baffle","approach","thrill","paranoid"
"bafflement","approach","tingle","perturb"
"bail","appropriate","tingle","phobia"
"bait","approval","tranquility","plight"
"balk","approve","triumphant","pout"
"banal","approve","upbeat","press"
"bandit","apt","uplift","regret"
"bane","aptitude","value","regret"
"banish","arbiter","warmhearted","regrettable"
"banish","arbitrate","whimsical","remorse"
"banishment","arbitration","willing","resentful"
"bankrupt","ardent","willingness","resentment"
"bankruptcy","arisen","worth-while","restlessness"
"bar","aristocracy","zeal","rue"
"barbarian","aristocrat",NA,"sad"
"barbarous","aristocratic",NA,"sadness"
"barren","arrest",NA,"scald"
"barrier","art",NA,"scare"
"bashful","art",NA,"scared"
"bastard","ascribe",NA,"scary"
"battle","aspiration",NA,"scrape"
"battle","aspire",NA,"shame"
"battlefield","assent",NA,"shameful"
"beastly","assertion",NA,"shiver"
"beat","asset",NA,"shock"
"beat","assist",NA,"shock"
"beat","assist",NA,"shock"
"beg","assistance",NA,"shock"
"beggar","assistant",NA,"shriek"
"behead","associate",NA,"shrill"
"belated","associate",NA,"smart"
"belie","associate",NA,"sob"
"belittle","association",NA,"somber"
"belligerent","association",NA,"sore"
"belt","assurance",NA,"soreness"
"bereave","assure",NA,"sorrow"
"bereavement","assure",NA,"sorrowful"
"bereft","assure",NA,"sorry"
"berserk","assuredly",NA,"sprain"
"beseech","astound",NA,"sting"
"beset","astute",NA,"stink"
"besiege","athletic",NA,"strain"
"betray","attachment",NA,"stress"
"betrayal","attain",NA,"stricken"
"beware","attainment",NA,"suffer"
"bewilder","attend",NA,"suffer"
"bewilderment","attendance",NA,"sullen"
"bit","attentive",NA,"tense"
"bitchy","attract",NA,"tension"
"bite","attraction",NA,"terrify"
"bite","attractive",NA,"terror"
"bite","attractiveness",NA,"thoughtless"
"bitter","attune",NA,"tire"
"bitterness","audible",NA,"tire"
"bizarre","augment",NA,"tire"
"blackmail","augmentation",NA,"tired"
"blah","auspicious",NA,"tired"
"blame","authentic",NA,"tired"
"blame","authenticity",NA,"tired"
"bland","authoritative",NA,"tolerable"
"blast","authority",NA,"torturous"
"blast","autonomous",NA,"touchy"
"blatant","availability",NA,"tragedy"
"bleak","avid",NA,"traumatic"
"blemish","award",NA,"trouble"
"blind","award",NA,"trouble"
"blind","aware",NA,"trouble"
"blind","awareness",NA,"unassured"
"blind","back",NA,"unbearable"
"blindness","back",NA,"uncomfortable"
"block","backbone",NA,"uneasiness"
"block","backer",NA,"uneasy"
"blockhead","backing",NA,"unhappiness"
"bloodshed","ball",NA,"unhappy"
"bloodthirsty","ball",NA,"unnerve"
"bloody","balmy",NA,"unsettling"
"blow","baptism",NA,"unspeakable"
"blow","baptize",NA,"unwilling"
"blunder","bargain",NA,"unwillingness"
"blunt","basic",NA,"upset"
"blur","basic",NA,"upset"
"blurt","beacon",NA,"upset"
"board","beauteous",NA,"wail"
"boast","beautify",NA,"wallow"
"boastful","beauty",NA,"wary"
"bogus","befit",NA,"weary"
"boisterous","befitting",NA,"weep"
"bolt","befriend",NA,"whimper"
"bomb","behalf",NA,"wince"
"bomb","beloved",NA,"wind"
"bombard","benefactor",NA,"woe"
"bombardment","beneficent",NA,"woeful"
"bondage","beneficial",NA,"worry"
"boot","beneficiary",NA,"worry"
"bore","benefit",NA,"worry"
"bore","benefit",NA,"worry"
"bore","benefit",NA,"wretch"
"boredom","benevolence",NA,"wretchedness"
"bother","benevolent",NA,"writhe"
"bother","benign",NA,"yelp"
"bothersome","bequeath",NA,NA
"bound","best",NA,NA
"bout","bestow",NA,NA
"box","betroth",NA,NA
"brag","betrothal",NA,NA
"brandish","better",NA,NA
"brat","better",NA,NA
"bravado","blameless",NA,NA
"brawl","bless",NA,NA
"brazen","bless",NA,NA
"breach","bless",NA,NA
"break","bliss",NA,NA
"break","blissful",NA,NA
"break","blithe",NA,NA
"breakdown","bloom",NA,NA
"bribe","blossom",NA,NA
"bristle","board",NA,NA
"brittle","boldness",NA,NA
"broke","bolster",NA,NA
"broke","bonny",NA,NA
"broke","bonus",NA,NA
"broke","boom",NA,NA
"broken-hearted","boost",NA,NA
"brood","boost",NA,NA
"bruise","boundless",NA,NA
"brusque","bountiful",NA,NA
"brutality","brainy",NA,NA
"brute","brave",NA,NA
"brutish","bravery",NA,NA
"buckle","breadwinner",NA,NA
"bug","bright",NA,NA
"bullet","brightness",NA,NA
"bum","brilliance",NA,NA
"bungle","brilliant",NA,NA
"burden","brotherhood",NA,NA
"burden","brotherly",NA,NA
"burdensome","buoyant",NA,NA
"burglar","buy",NA,NA
"burglary","call",NA,NA
"burn","calm",NA,NA
"burn","calm",NA,NA
"burn","calm",NA,NA
"burn","calmness",NA,NA
"bury","candid",NA,NA
"busybody","candor",NA,NA
"butchery","capability",NA,NA
"calamity","capable",NA,NA
"callous","capitalize",NA,NA
"cancel","captivation",NA,NA
"cancellation","care",NA,NA
"cancer","care",NA,NA
"cannibal","carefree",NA,NA
"cannon","careful",NA,NA
"capital","caress",NA,NA
"capitulate","caress",NA,NA
"capricious","casual",NA,NA
"capsize","ceaseless",NA,NA
"captive","celebrate",NA,NA
"capture","celebration",NA,NA
"capture","celebrity",NA,NA
"careen","ceremonial",NA,NA
"careless","champ",NA,NA
"carelessness","champion",NA,NA
"casualty","championship",NA,NA
"cataclysm","charisma",NA,NA
"catastrophe","charitable",NA,NA
"catch","charity",NA,NA
"cave","charm",NA,NA
"censor","charm",NA,NA
"censorship","chaste",NA,NA
"censure","cheer",NA,NA
"chafe","cheerful",NA,NA
"challenge","cheery",NA,NA
"challenge","cherish",NA,NA
"chaos","cherish",NA,NA
"chaotic","cherub",NA,NA
"charge","chic",NA,NA
"charge","chivalrous",NA,NA
"charge","chivalry",NA,NA
"charge","chosen",NA,NA
"chase","chum",NA,NA
"chase","civil",NA,NA
"chastise","civility",NA,NA
"cheap","civilization",NA,NA
"cheapen","civilize",NA,NA
"cheater","civilize",NA,NA
"chide","clarify",NA,NA
"childish","clarity",NA,NA
"choke","classic",NA,NA
"choke","clean",NA,NA
"chore","clean",NA,NA
"chronic","cleanliness",NA,NA
"circle","cleanse",NA,NA
"clamor","clear",NA,NA
"clamorous","clear",NA,NA
"clash","clear",NA,NA
"clatter","clear",NA,NA
"clique","clear",NA,NA
"clog","clearness",NA,NA
"close","clever",NA,NA
"close","closeness",NA,NA
"club","clout",NA,NA
"club","co-operation",NA,NA
"clumsy","coax",NA,NA
"clutter","coddle",NA,NA
"coarse","coexistence",NA,NA
"coarseness","cogent",NA,NA
"cockiness","cognizance",NA,NA
"cocky","cognizant",NA,NA
"coerce","coherent",NA,NA
"coercion","cohesion",NA,NA
"coercive","cohort",NA,NA
"cold","coincident",NA,NA
"cold","collaborate",NA,NA
"cold","collaboration",NA,NA
"cold","colleague",NA,NA
"collapse","colossal",NA,NA
"collapse","comeback",NA,NA
"collide","comedy",NA,NA
"collision","comely",NA,NA
"collusion","comestible",NA,NA
"colony","comfort",NA,NA
"combat","comfort",NA,NA
"combat","comfort",NA,NA
"combatant","comfortable",NA,NA
"commiseration","comic",NA,NA
"commit","comical",NA,NA
"commoner","commemorate",NA,NA
"commonplace","commemoration",NA,NA
"commotion","commencement",NA,NA
"compel","commend",NA,NA
"compel","commendable",NA,NA
"compete","commendation",NA,NA
"competition","commensurate",NA,NA
"competitive","commission",NA,NA
"competitor","commitment",NA,NA
"complain","commodious",NA,NA
"complaint","common",NA,NA
"complex","common",NA,NA
"complexity","commonsense",NA,NA
"complicate","communal",NA,NA
"complicate","commune",NA,NA
"complication","communicate",NA,NA
"complicity","communicate",NA,NA
"compulsion","communicative",NA,NA
"conceal","communion",NA,NA
"conceit","community",NA,NA
"concern","companion",NA,NA
"concern","companionship",NA,NA
"condemn","company",NA,NA
"condemn","compassion",NA,NA
"condemnation","compassionate",NA,NA
"condescending","compatible",NA,NA
"condescension","compensate",NA,NA
"confess","compensation",NA,NA
"confession","competence",NA,NA
"confine","competency",NA,NA
"confine","competent",NA,NA
"confinement","complement",NA,NA
"confiscate","complement",NA,NA
"confiscation","complementary",NA,NA
"conflict","complete",NA,NA
"conflict","complete",NA,NA
"conflict","completeness",NA,NA
"conflict","completion",NA,NA
"confound","compliance",NA,NA
"confront","compliment",NA,NA
"confrontation","composure",NA,NA
"confuse","comprehend",NA,NA
"confuse","comprehension",NA,NA
"confuse","comprehensive",NA,NA
"confuse","compromise",NA,NA
"confusion","compromise",NA,NA
"congested","concession",NA,NA
"congestion","conclusive",NA,NA
"conspiracy","concur",NA,NA
"conspirator","condone",NA,NA
"conspire","conducive",NA,NA
"consternation","confederation",NA,NA
"constrain","confer",NA,NA
"constraint","confidant",NA,NA
"consumptive","confide",NA,NA
"contagious","confidence",NA,NA
"contaminate","confident",NA,NA
"contamination","congenial",NA,NA
"contempt","congratulate",NA,NA
"contemptible","congratulation",NA,NA
"contemptuous","congratulatory",NA,NA
"contend","congregate",NA,NA
"contradict","conjunction",NA,NA
"contradiction","conjure",NA,NA
"contradictory","connect",NA,NA
"contrary","conquer",NA,NA
"controversial","conqueror",NA,NA
"controversy","conquest",NA,NA
"convict","conscience",NA,NA
"convict","conscientious",NA,NA
"cool","consensus",NA,NA
"coolness","consent",NA,NA
"corrode","consent",NA,NA
"corrosion","conserve",NA,NA
"corrosive","consider",NA,NA
"corrupt","consider",NA,NA
"corruption","considerate",NA,NA
"cost","consideration",NA,NA
"cost","consign",NA,NA
"costliness","consistency",NA,NA
"costly","consistent",NA,NA
"counteract","console",NA,NA
"counteraction","consolidate",NA,NA
"counterfeit","constancy",NA,NA
"covert","constructive",NA,NA
"covet","consult",NA,NA
"coward","consultation",NA,NA
"crafty","consummate",NA,NA
"cram","contact",NA,NA
"cramp","contact",NA,NA
"cranky","content",NA,NA
"crass","content",NA,NA
"crave","content",NA,NA
"crawl","contentment",NA,NA
"craze","continuity",NA,NA
"craziness","contribute",NA,NA
"crazy","contribute",NA,NA
"credulous","contribution",NA,NA
"crime","contributor",NA,NA
"criminal","convene",NA,NA
"cringe","conviction",NA,NA
"cripple","convince",NA,NA
"crisis","convince",NA,NA
"critic","cooperate",NA,NA
"criticize","cooperation",NA,NA
"croak","cooperative",NA,NA
"crook","cooperative",NA,NA
"crooked","cooperative",NA,NA
"cross","coordinate",NA,NA
"cross","coordination",NA,NA
"cross","cordial",NA,NA
"crude","correct",NA,NA
"cruel","correct",NA,NA
"cruelty","correct",NA,NA
"crumble","correction",NA,NA
"crumple","council",NA,NA
"crush","counsel",NA,NA
"crush","counsel",NA,NA
"crushing","courage",NA,NA
"culpable","courageous",NA,NA
"culprit","courteous",NA,NA
"cumbersome","courtesy",NA,NA
"curse","courtly",NA,NA
"curse","covenant",NA,NA
"cursory","cozy",NA,NA
"curt","create",NA,NA
"curtail","creative",NA,NA
"cut","creativity",NA,NA
"cut","credentials",NA,NA
"cynical","credibility",NA,NA
"cynicism","credible",NA,NA
"damage","credit",NA,NA
"damage","credit",NA,NA
"damn","crusade",NA,NA
"damnable","crusader",NA,NA
"damned","cuddle",NA,NA
"danger","culminate",NA,NA
"dangerous","culmination",NA,NA
"dark","cultivate",NA,NA
"darken","cultivate",NA,NA
"darkness","cultivation",NA,NA
"darn","culture",NA,NA
"daunting","cupid",NA,NA
"dawdle","cure",NA,NA
"daze","cure",NA,NA
"dead","curtsey",NA,NA
"deadlock","cute",NA,NA
"deadly","dance",NA,NA
"deadweight","dance",NA,NA
"deaf","dance",NA,NA
"deafness","dare",NA,NA
"deal","daring",NA,NA
"dearth","darling",NA,NA
"death","dauntless",NA,NA
"debatable","dawn",NA,NA
"debtor","dazzle",NA,NA
"decadence","deal",NA,NA
"decadent","dear",NA,NA
"decay","dear",NA,NA
"decay","decency",NA,NA
"decease","decent",NA,NA
"deceit","decipher",NA,NA
"deceitful","decorate",NA,NA
"deceive","decoration",NA,NA
"deceive","decorative",NA,NA
"deception","dedicate",NA,NA
"deceptive","dedicate",NA,NA
"decline","dedication",NA,NA
"decline","deduce",NA,NA
"decompose","defend",NA,NA
"decrease","defender",NA,NA
"decrease","defense",NA,NA
"defame","deference",NA,NA
"default","definitive",NA,NA
"defeat","delicacy",NA,NA
"defeat","delicate",NA,NA
"defect","delight",NA,NA
"defective","delight",NA,NA
"defendant","delightful",NA,NA
"defensive","dependability",NA,NA
"defiance","dependable",NA,NA
"defiant","descry",NA,NA
"deficiency","deserve",NA,NA
"deficient","deservedly",NA,NA
"deficit","desirable",NA,NA
"defile","desirous",NA,NA
"defy","devote",NA,NA
"degenerate","devote",NA,NA
"degrade","devotion",NA,NA
"dejected","devout",NA,NA
"delay","dexterity",NA,NA
"delay","dig",NA,NA
"delinquency","dignified",NA,NA
"delinquent","dignify",NA,NA
"delirium","dignity",NA,NA
"deluge","diligent",NA,NA
"delusion","discern",NA,NA
"demean","discreet",NA,NA
"demise","discretion",NA,NA
"demolish","discuss",NA,NA
"demon","distinct",NA,NA
"demoralize","distinction",NA,NA
"denial","distinctive",NA,NA
"denounce","distinguish",NA,NA
"dent","distinguish",NA,NA
"deny","distinguished",NA,NA
"dependent","divine",NA,NA
"deplete","divine",NA,NA
"deplorable","divinity",NA,NA
"deplore","dominance",NA,NA
"depose","donate",NA,NA
"depraved","donation",NA,NA
"depreciate","dote",NA,NA
"depreciation","doubtless",NA,NA
"depress","dreamland",NA,NA
"depress","durability",NA,NA
"depress","durable",NA,NA
"depression","dynamic",NA,NA
"depression","eager",NA,NA
"deprive","eagerness",NA,NA
"deride","earnest",NA,NA
"derision","earnestness",NA,NA
"derisive","ease",NA,NA
"derogatory","ease",NA,NA
"desert","easy",NA,NA
"desert","easy",NA,NA
"desertion","easy",NA,NA
"desire","easy",NA,NA
"desolate","economize",NA,NA
"desolation","ecstasy",NA,NA
"despair","ecstatic",NA,NA
"despair","edible",NA,NA
"desperate","educated",NA,NA
"desperation","education",NA,NA
"despicable","educational",NA,NA
"despise","effective",NA,NA
"despise","effectiveness",NA,NA
"destitute","efficacy",NA,NA
"destroy","efficiency",NA,NA
"destruction","efficient",NA,NA
"destructive","elaborate",NA,NA
"detachment","elaboration",NA,NA
"detain","elate",NA,NA
"deter","elegance",NA,NA
"deterrent","elegant",NA,NA
"detest","eloquent",NA,NA
"detestable","embellish",NA,NA
"detract","embrace",NA,NA
"detrimental","embrace",NA,NA
"devastate","eminence",NA,NA
"devastation","eminent",NA,NA
"deviate","empathy",NA,NA
"deviation","empower",NA,NA
"devil","empowerment",NA,NA
"devilish","enable",NA,NA
"devious","enchant",NA,NA
"devoid","enchant",NA,NA
